CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1151146,06 January 2017,07:08,Injury,Right angle collision,1,1,HORSE PARK/MIRRABEI/SUTHERLAND INTERSECTION,-35.152756,149.114711,"(-35.152756, 149.114711)"
1064364,20 June 2013,11:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,EFKARPIDIS STREET (GOZZARD -> GUNGAHLIN),-35.186484,149.132936,"(-35.186484, 149.132936)"
1084176,07 April 2014,05:45,Injury,Other - Vehicle to Vehicle,1,1,MELROSE DRIVE (HINDMARSH -> BREWER),-35.346774,149.083452,"(-35.346774, 149.083452)"
1134878,14 May 2016,18:15,Property Damage Only,Other - Vehicle to Vehicle,1,0,TORRENS STREET (ELOUERA -> GIRRAHWEEN),-35.273048,149.134168,"(-35.273048, 149.134168)"
1106929,31 March 2015,09:10,Property Damage Only,Rear end collision,1,0,KING GEORGE/LANGTON INTERSECTION,-35.300201,149.127349,"(-35.300201, 149.127349)"
1072256,24 September 2013,15:00,Property Damage Only,Right angle collision,1,0,COPLAND/VERBRUGGHEN INTERSECTION,-35.213735,149.059116,"(-35.213735, 149.059116)"
1065361,04 July 2013,09:00,Property Damage Only,Collision with parked vehicle,1,0,MORT STREET (COOYONG -> ELOUERA),-35.274835,149.131226,"(-35.274835, 149.131226)"
1148755,24 November 2016,13:47,Injury,Right angle collision,1,1,HENTY/IPIMA/LOWANNA INTERSECTION,-35.266347,149.132598,"(-35.266347, 149.132598)"
1027531,07 February 2012,13:30,Injury,Other - Vehicle to Vehicle,1,1,ELLENBOROUGH/GINNINDERRA/MOUAT/RIGGALL INTERSECTION,-35.24276,149.126211,"(-35.24276, 149.126211)"
1127589,27 January 2016,13:25,Injury,Right angle collision,1,1,EASTERN VALLEY/HENNESSY INTERSECTION,-35.248192,149.076063,"(-35.248192, 149.076063)"
1184128,09 May 2018,11:48,Property Damage Only,Right angle collision,1,0,STONEHAVEN/MELBOURNE/GOWRIE INTERSECTION,-35.319546,149.11447,"(-35.319546, 149.11447)"
1178385,17 February 2018,18:35,Property Damage Only,Same direction side swipe,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275773,149.129673,"(-35.275773, 149.129673)"
1108460,15 April 2015,16:45,Property Damage Only,Other - Vehicle to Vehicle,1,0,BRIGALOW STREET (HALL -> WATTLE),-35.251731,149.124121,"(-35.251731, 149.124121)"
1048274,30 January 2012,16:36,Property Damage Only,Right angle collision,1,0,EASTY/LAUNCESTON INTERSECTION,-35.340995,149.089326,"(-35.340995, 149.089326)"
1142339,26 August 2016,17:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,CANBERRA AV/TOM PRICE ST INTERSECTION,-35.340517,149.18312,"(-35.340517, 149.18312)"
1042601,04 August 2012,15:50,Property Damage Only,Right turn into oncoming vehicle,1,0,MASSON/WATSON INTERSECTION,-35.269916,149.126564,"(-35.269916, 149.126564)"
1055364,04 February 2013,16:40,Property Damage Only,Other - Vehicle to Vehicle,1,0,MOORE STREET (GOULD -> MASSON),-35.272381,149.128818,"(-35.272381, 149.128818)"
1080020,11 February 2014,18:20,Fatal,Right angle collision,1,1,AINSLIE/DOONKUNA INTERSECTION,-35.278305,149.138738,"(-35.278305, 149.138738)"
1057797,22 February 2013,08:44,Property Damage Only,Other - Vehicle to Vehicle,1,0,ATHLLON/MELROSE INTERSECTION,-35.357237,149.091539,"(-35.357237, 149.091539)"
1123795,12 August 2015,16:00,Property Damage Only,Right angle collision,1,0,DAVID/MACPHERSON/MCCAUGHEY INTERSECTION,-35.264964,149.122269,"(-35.264964, 149.122269)"
1067330,31 July 2013,07:55,Injury,Same direction side swipe,1,1,HORSE PARK/KATHERINE INTERSECTION,-35.169595,149.138858,"(-35.169595, 149.138858)"
1096679,02 October 2014,06:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,BARRY DRIVE (WATSON -> MARCUS CLARKE),-35.275376,149.126015,"(-35.275376, 149.126015)"
1178699,02 March 2018,07:10,Injury,Same direction side swipe,1,1,HORSE PARK/FEDENHORSWRM/MAJURA INTERSECTION,-35.213239,149.184924,"(-35.213239, 149.184924)"
1060661,29 April 2013,08:15,Property Damage Only,Same direction side swipe,1,0,FLEMINGTON/MORISSET/SANDFORD INTERSECTION,-35.221318,149.144751,"(-35.221318, 149.144751)"
1184029,08 May 2018,17:55,Property Damage Only,Right angle collision,1,0,FAUNCE/MILLER INTERSECTION,-35.265399,149.114286,"(-35.265399, 149.114286)"
1029035,15 February 2012,08:30,Injury,Other - Vehicle to Vehicle,1,1,CARRUTHERS STREET (THROSSELL -> AYERS),-35.323795,149.076262,"(-35.323795, 149.076262)"
1160764,16 May 2017,16:32,Property Damage Only,Same direction side swipe,1,0,STONEHAVEN/MELBOURNE/GOWRIE INTERSECTION,-35.319415,149.114278,"(-35.319415, 149.114278)"
1111986,09 June 2015,12:00,Property Damage Only,Right angle collision,1,0,COWPER/DICKSON SHOPS ACCESS INTERSECTION,-35.249741,149.140959,"(-35.249741, 149.140959)"
1070334,23 August 2013,07:25,Property Damage Only,Right angle collision,1,0,STEPHEN/TYSON INTERSECTION,-35.258975,149.144377,"(-35.258975, 149.144377)"
1031923,11 April 2012,17:55,Property Damage Only,Right angle collision,1,0,JEANNE YOUNG/WILLIAM WEBB INTERSECTION,-35.212454,149.080906,"(-35.212454, 149.080906)"
1152547,01 April 2016,23:15,Property Damage Only,Same direction side swipe,1,0,BARRY/MARCUS CLARKE INTERSECTION,-35.275461,149.1268,"(-35.275461, 149.1268)"
1170647,20 October 2017,18:05,Injury,Right angle collision,1,1,ANTILL/CADELL INTERSECTION,-35.247753,149.151212,"(-35.247753, 149.151212)"
1090161,30 June 2014,10:44,Injury,Right angle collision,1,1,FARRELL/MARCUS CLARKE INTERSECTION,-35.280827,149.124481,"(-35.280827, 149.124481)"
1070694,09 September 2013,09:20,Injury,Right turn into oncoming vehicle,1,1,ANTILL/ROSEVEAR INTERSECTION,-35.24873,149.143757,"(-35.24873, 149.143757)"
1079814,07 February 2014,08:30,Injury,Same direction side swipe,1,1,HODGSON/MELROSE INTERSECTION,-35.357247,149.088041,"(-35.357247, 149.088041)"
1182391,16 April 2018,18:30,Property Damage Only,Right angle collision,1,0,LOCKYER/STUART INTERSECTION,-35.324136,149.138127,"(-35.324136, 149.138127)"
1105742,25 February 2015,08:15,Property Damage Only,Same direction side swipe,1,0,BINDUBI/BARDI INTERSECTION,-35.2523,149.074997,"(-35.2523, 149.074997)"
