ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
303401746,Agency Wars Lite,2.5,17045,0,,MindJolt,4+,EN,7543757,Games,"Games, Entertainment, Strategy, Role Playing",14/03/2009,6/05/2009,,,,,,,,,,,,,,,,,,,,
303475501,Touch Physics Lite,3.5,42210,0,,Gamez 4 Touch,4+,EN,16556848,Games,"Games, Puzzle, Strategy, Entertainment",1/02/2009,12/01/2011,,,,,,,,,,,,,,,,,,,,
303477061,FIREWALL: Defender FREE,2.5,1156,0,,Solus Games,4+,EN,6122222,Games,"Games, Strategy, Entertainment, Puzzle",28/01/2009,28/01/2009,,,,,,,,,,,,,,,,,,,,
303830590,PocketSports Football Lite,2.5,20234,0,,Solus Games,12+,EN,4528173,Games,"Games, Sports, Entertainment, Strategy",12/02/2009,19/02/2009,,,,,,,,,,,,,,,,,,,,
303954672,BallSnare,3.5,7,0.99,,John Gregorek,4+,EN,3824640,Games,"Games, Entertainment, Casual, Strategy",6/02/2009,9/09/2016,,,,,,,,,,,,,,,,,,,,
304657926,Wordology,3.5,125,2.99,,Cerebral Gardens,4+,EN,98282496,Games,"Games, Entertainment, Word, Strategy",28/02/2009,7/12/2017,,,,,,,,,,,,,,,,,,,,
304878580,Omar Sharif Bridge,2.5,359,5.99,,ZingMagic Limited,4+,EN,33982464,Games,"Games, Card, Entertainment, Strategy",17/02/2009,11/12/2018,,,,,,,,,,,,,,,,,,,,
304932775,PahJong Hurricane,3,6,0.99,,John Gregorek,4+,EN,3134464,Games,"Games, Entertainment, Casual, Strategy",16/02/2009,9/09/2016,,,,,,,,,,,,,,,,,,,,
305123066,Wedding Dash,4,101209,0,"2.99, 2.99, 5.99, 0.99, 0.0, 0.99, 0.99, 0.99, 0.99, 0.99",Glu Games Inc,4+,EN,58343424,Games,"Games, Strategy, Action, Entertainment",18/02/2009,2/07/2014,,,,,,,,,,,,,,,,,,,,
305260337,PahJong Tsunami,,,0.99,,John Gregorek,4+,EN,2974720,Games,"Games, Entertainment, Strategy, Casual",18/02/2009,9/09/2016,,,,,,,,,,,,,,,,,,,,
305324342,Slay,3,4885,3.99,"9.99, 9.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99","""Sean O'Connor""",9+,EN,59016192,Games,"Games, Board, Strategy",27/02/2009,30/05/2019,,,,,,,,,,,,,,,,,,,,
305462255,Paintball II,2,84,2.99,,CrazySoft Limited,4+,EN,6466560,Games,"Games, Puzzle, Entertainment, Strategy",25/02/2009,10/10/2018,,,,,,,,,,,,,,,,,,,,
305464559,Psarakia (Ice Fishing),3.5,13,2.99,,CrazySoft Limited,4+,EN,4922368,Games,"Games, Entertainment, Puzzle, Strategy",25/02/2009,10/10/2018,,,,,,,,,,,,,,,,,,,,
305620716,Shogi Demon,3.5,27,2.99,,NUTRACTOR,17+,"EN, JA",20957184,Games,"Games, Strategy, Board",24/02/2009,13/07/2018,,,,,,,,,,,,,,,,,,,,
305929056,Tiki Towers LITE,3.5,29495,0,,GameHouse,9+,"EN, FR, DE, IT, ES",39453539,Games,"Games, Entertainment, Strategy, Puzzle",25/02/2009,29/01/2011,,,,,,,,,,,,,,,,,,,,
306165224,Gun Runner +,2.5,5462,0,"0.99, 0.99, 0.99",CUBIC digital,9+,EN,14125056,Games,"Games, Entertainment, Adventure, Strategy",25/02/2009,28/09/2017,,,,,,,,,,,,,,,,,,,,
307013525,Polycubes,3.5,19,0,,Voxeloid Kft.,4+,EN,4472832,Games,"Games, Strategy, Entertainment, Puzzle",7/03/2009,2/07/2014,,,,,,,,,,,,,,,,,,,,
307083604,Port Defender\xae - 2D Field Defense,3.5,860,0,"0.99, 1.99, 0.99, 0.99",Michael Fuller,9+,EN,84364288,Games,"Games, Strategy, Action, Entertainment",27/03/2009,23/03/2016,,,,,,,,,,,,,,,,,,,,
